Junction,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
21,0.84938812,1.019139528,1.456785132,0.716035669,0.84022061,0.980270468,1.161230595,0.485078922,0.377473987,0.506361843,0.66130511,0.722587766,0.876844109,0.361458906,0.213008657,0.597726821,0.796964863,1.01917127,1.207944047,0.289506586,0,0.57732664,0.956282864,1.087805023,0.551004858,0.35108032,0.174586997,0.313439649,0.60712202,0.974602753,0.92580697,0.8804157,0.914397192,1.297864357,1.192179886,1.108582395,1.355436386
22,1.229902964,1.074282812,1.268382569,0.826874933,0.829859314,0.861146986,0.946249651,0.840292832,0.556148276,0.531793449,0.530668595,0.645204066,0.684104704,0.826241462,0.527657762,0.282042818,0.454244736,0.612443309,0.7697619,0.850261346,0.57732664,0,0.386482953,0.510994025,1.127462075,0.926522614,0.66640439,0.49680901,0.408712874,0.594666201,1.383578934,1.232047047,1.144641131,1.766574851,1.61518364,1.341150706,1.296610474
23,1.497957006,1.182671478,1.181473265,1.011322288,0.943325733,0.893215688,0.88524598,1.133386951,0.84531543,0.762286547,0.668515914,0.770139881,0.710645765,1.159936437,0.86988475,0.459012338,0.45463209,0.452579765,0.525646763,1.216309186,0.956282864,0.386482953,0,0.151245299,1.501582746,1.307253588,1.05286817,0.872307768,0.691619633,0.663234401,1.759907874,1.587955028,1.469485253,2.141932931,1.981344717,1.656981311,1.482102668
24,1.649202287,1.322321121,1.277295809,1.160229494,1.086088432,1.024431774,0.995715361,1.283720223,0.99511564,0.913531816,0.817076824,0.916319053,0.845410587,1.306335638,1.013713111,0.610125316,0.59576855,0.557025133,0.586288341,1.354904368,1.087805023,0.510994025,0.151245299,0,1.636697207,1.437492886,1.172664827,0.974996377,0.754507183,0.645821393,1.856529238,1.667477926,1.530252506,2.236199376,2.06696951,1.710613739,1.476500008
25,0.7241897,1.209525372,1.767097377,0.953950721,1.12935071,1.310117977,1.52280944,0.606166906,0.757853433,0.902636529,1.078102126,1.091079371,1.271513313,0.446699397,0.653874217,1.103736485,1.274861728,1.498011586,1.688536578,0.293825003,0.551004858,1.127462075,1.501582746,1.636697207,0,0.220149501,0.521077921,0.775190718,1.102286038,1.478299329,0.728624587,0.871082428,1.04122094,1.007237418,0.996478901,1.183981979,1.648544719
26,0.798609152,1.177029013,1.694629055,0.893534885,1.054837982,1.223144352,1.425599543,0.56474737,0.631042001,0.777391823,0.949804545,0.983194345,1.156425999,0.387784986,0.496958683,0.935136083,1.122036577,1.346406882,1.537020105,0.182902801,0.35108032,0.926522614,1.307253588,1.437492886,0.220149501,0,0.300979778,0.555041862,0.882153174,1.258152942,0.693756279,0.759848525,0.88945451,1.030480734,0.971365421,1.053297204,1.46184781
27,0.96816396,1.190012432,1.630291974,0.887469587,1.014692049,1.15411153,1.332254577,0.632314946,0.552042077,0.679624853,0.830289485,0.895707103,1.046254341,0.483093326,0.387590756,0.741872848,0.948944879,1.167358778,1.353287948,0.338948296,0.174586997,0.66640439,1.05286817,1.172664827,0.521077921,0.300979778,0,0.254276822,0.581222623,0.957274703,0.763026982,0.705831267,0.747933462,1.140469739,1.02442846,0.939157268,1.230566664
28,1.162542517,1.271377203,1.632290349,0.971832622,1.062721237,1.169263842,1.317497166,0.790654849,0.618583325,0.708470679,0.820876594,0.910977347,1.029479278,0.674877299,0.469773598,0.66030394,0.873483122,1.073593501,1.247724941,0.574296796,0.313439649,0.49680901,0.872307768,0.974996377,0.775190718,0.555041862,0.254276822,0,0.327199929,0.703115272,0.88810038,0.743279707,0.696317984,1.270733493,1.119062951,0.897440718,1.05157646
29,1.430744,1.420757225,1.673159999,1.141134349,1.186671437,1.248029694,1.350689474,1.040821656,0.807042585,0.846787763,0.901226717,1.010261885,1.079419878,0.95727512,0.697282871,0.673604957,0.861885775,1.016107132,1.161182022,0.888557704,0.60712202,0.408712874,0.691619633,0.754507183,1.102286038,0.882153174,0.581222623,0.327199929,0,0.376093668,1.127733765,0.916397517,0.77868381,1.499487298,1.319649441,0.965436754,0.895894065
30,1.770610571,1.66884971,1.809519193,1.416916967,1.423965494,1.442235998,1.495042343,1.376047679,1.115103639,1.118852031,1.123963906,1.238813124,1.259130603,1.312903268,1.03398751,0.872025051,1.006492293,1.092429336,1.188447938,1.260368134,0.974602753,0.594666201,0.663234401,0.645821393,1.478299329,1.258152942,0.957274703,0.703115272,0.376093668,0,1.438002821,1.187705441,0.993278326,1.79083933,1.592212856,1.145183417,0.830786206
31,1.450782113,1.870003388,2.369356077,1.581983548,1.73529199,1.893081694,2.083502661,1.258501362,1.286740744,1.426187071,1.586652357,1.641106874,1.801640232,1.081533729,1.129767936,1.502184088,1.711259449,1.927746601,2.111454679,0.876411131,0.92580697,1.383578934,1.759907874,1.856529238,0.728624587,0.693756279,0.763026982,0.88810038,1.127733765,1.438002821,0,0.299405489,0.552842698,0.383099197,0.277611767,0.587273741,1.213042002
32,1.557518208,1.887249962,2.333703898,1.587161427,1.720204116,1.858571112,2.030392322,1.297626573,1.257821912,1.383717298,1.526894081,1.599132667,1.742171335,1.12586543,1.093421992,1.398447651,1.611924626,1.816316278,1.990936412,0.927067198,0.8804157,1.232047047,1.587955028,1.667477926,0.871082428,0.759848525,0.705831267,0.743279707,0.916397517,1.187705441,0.299405489,0,0.253469887,0.605024725,0.406195479,0.320851542,0.915397375
33,1.679964739,1.932872906,2.327789709,1.629614469,1.742435147,1.861257559,2.01379137,1.376473855,1.282982628,1.392298206,1.515669231,1.601425849,1.725621518,1.215958386,1.120360299,1.351344418,1.562612436,1.751244376,1.91436001,1.033054388,0.914397192,1.144641131,1.469485253,1.530252506,1.04122094,0.88945451,0.747933462,0.696317984,0.77868381,0.993278326,0.552842698,0.253469887,0,0.833829497,0.61854933,0.20112734,0.665686791
34,1.722809614,2.200771585,2.72388253,1.923378683,2.084984521,2.250118849,2.446786845,1.586987248,1.647846953,1.790527493,1.955346023,2.00319937,2.168798231,1.412137149,1.495824946,1.881783951,2.089375553,2.307441229,2.492204184,1.211447804,1.297864357,1.766574851,2.141932931,2.236199376,1.007237418,1.030480734,1.140469739,1.270733493,1.499487298,1.79083933,0.383099197,0.605024725,0.833829497,0,0.222719123,0.779613215,1.438416947
35,1.720583438,2.147487359,2.642364234,1.858687153,2.010313946,2.165625628,2.352873563,1.536111795,1.558647813,1.696117418,1.853345392,1.911786163,2.069010023,1.359144884,1.399577536,1.755329496,1.966766851,2.179451659,2.359960391,1.154017636,1.192179886,1.61518364,1.981344717,2.06696951,0.996478901,0.971365421,1.02442846,1.119062951,1.319649441,1.592212856,0.277611767,0.406195479,0.61854933,0.222719123,0,0.556946908,1.215838496
36,1.850605587,2.12772187,2.528701266,1.824587733,1.940718765,2.061549618,2.214899836,1.562098788,1.480080186,1.591648249,1.716514445,1.801559564,1.926692408,1.397443402,1.316709043,1.551936171,1.762856788,1.949674604,2.110805654,1.207889449,1.108582395,1.341150706,1.656981311,1.710613739,1.183981979,1.053297204,0.939157268,0.897440718,0.965436754,1.145183417,0.587273741,0.320851542,0.20112734,0.779613215,0.556946908,0,0.658977018
37,2.197479785,2.301047186,2.564986264,2.009649145,2.074400638,2.143662002,2.24283861,1.839640688,1.66004801,1.725724373,1.795377473,1.902377455,1.975001601,1.709126126,1.519817019,1.568937186,1.750157404,1.881102881,2.000313661,1.564123109,1.355436386,1.296610474,1.482102668,1.476500008,1.648544719,1.46184781,1.230566664,1.05157646,0.895894065,0.830786206,1.213042002,0.915397375,0.665686791,1.438416947,1.215838496,0.658977018,0
